name_en,name_jp
billowing dream,夢を見る
billowing dust,ビルダストダスト
billowing feather,うねり羽
billowing field,請求先フィールド
billowing fire,うなり声
billowing firefly,つぼみホタル
billowing flower,かがむ花
billowing fog,霧の霧
billowing forest,ビルイングフォレスト
billowing frog,かえるカエル
billowing frost,ビルリングフロスト
billowing glade,ビルディンググレイド
billowing glitter,きらきら輝く
billowing grass,札幌の草
billowing hall,ビリングホール
billowing hat,ビルハットハット
billowing haze,ビルヘイズヘイズ
billowing heart,うずくまる心
billowing hill,ビルイングヒル
billowing king,ビリング王
billowing lab,ビリングラボ
billowing lake,Billowing Lake
billowing leaf,ビルローイングリーフ
billowing limit,請求制限
billowing math,Billowing数学
billowing meadow,牧草地
billowing mode,請求モード
billowing moon,ビルイングムーン
billowing morning,ビルイング朝
billowing mountain,ビリング山
billowing mouse,ビルマウス
billowing mud,ビルディング泥
billowing night,ビルリングナイト
billowing paper,請求書用紙
billowing pine,ビルイングパイン
billowing poetry,Billowing詩
billowing pond,ビル池
billowing queen,ビルイングクイーン
billowing rain,曇りの雨
billowing recipe,請求書作成レシピ
billowing resonance,うなり声
billowing rice,ビルご飯
billowing river,Billowing River
billowing salad,ビリングサラダ
billowing scene,ビルディングシーン
billowing sea,うねるような海
billowing shadow,ビルディングシャドウ
billowing shape,うねり形状
billowing silence,うずくまる沈黙
billowing sky,渦巻く空
billowing smoke,渦巻く煙
billowing snow,雪が降る
billowing snowflake,Billowingスノーフレーク
billowing sound,ビリング音
billowing star,ビリングスター
billowing sun,渦巻く太陽
billowing sun,渦巻く太陽
billowing sunset,ビルニング夕日
billowing surf,ビルサーフィン
billowing term,請求期間
billowing thunder,ビルニング雷
billowing tooth,うずくまる歯
billowing tree,ビルツリー
billowing truth,偽りの真実
billowing union,ビルリングユニオン
billowing unit,課金単位
billowing violet,ビリングバイオレット
billowing voice,請求声
billowing water,うずくまる水
billowing waterfall,うねる滝
billowing wave,うなり波
billowing wildflower,ビルワーリングワイルドフラワー
billowing wind,渦巻く風
billowing wood,ビルウッド
bitter art,ビターアート
bitter band,苦いバンド
bitter bar,ビターバー
bitter base,苦いベース
bitter bird,苦い鳥
bitter block,苦いブロック
bitter boat,苦いボート
bitter bonus,苦いボーナス
bitter breeze,苦い風
bitter brook,苦い小川
bitter bush,ビターブッシュ
bitter butterfly,苦い蝶
bitter cake,苦いケーキ
bitter cell,苦い細胞
bitter cherry,苦いチェリー
bitter cloud,苦い雲
bitter credit,苦いクレジット
bitter darkness,苦い闇
bitter dawn,苦い夜明け
bitter dew,苦い露
bitter disk,ビターディスク
bitter bread,苦いパン
bitter dust,ほこり
bitter feather,苦い羽
bitter field,苦いフィールド
bitter fire,苦い火
bitter firefly,苦いホタル
bitter flower,苦い花
bitter fog,苦い霧
bitter forest,苦い森
bitter frog,苦いカエル
bitter frost,苦い霜
bitter glade,苦い空き地
bitter glitter,キラキラ
bitter grass,苦い草
bitter hall,ビターホール
bitter hat,苦い帽子
bitter haze,苦い曇り
bitter heart,苦い心
bitter hill,苦い丘
bitter king,苦い王
bitter lab,苦い実験室
bitter lake,苦い湖
bitter leaf,苦い葉
bitter limit,苦い限界
bitter math,苦い数学
bitter meadow,苦い牧草地
bitter mode,苦いモード
bitter moon,苦い月
bitter morning,苦い朝
bitter mountain,苦い山
bitter mouse,苦いマウス
bitter dream,苦い夢
bitter night,苦い夜
bitter paper,苦い紙
bitter pine,苦い松
bitter poetry,苦い詩
bitter mud,苦い泥
bitter queen,苦い女王
bitter rain,苦い雨
bitter recipe,苦いレシピ
bitter resonance,苦い共鳴
bitter rice,苦いご飯
bitter pond,苦い池
bitter river,苦い川
bitter sea,苦い海
bitter shadow,苦い影
bitter shape,苦い形
bitter silence,苦い沈黙
bitter sky,苦い空
bitter smoke,苦い煙
bitter snow,苦い雪
bitter scene,苦いシーン
bitter sound,苦い音
bitter star,苦い星
bitter sun,苦い太陽
bitter sun,苦い太陽
bitter salad,苦いサラダ
bitter surf,苦いサーフ
bitter term,苦い言葉
bitter snowflake,苦いスノーフレーク
bitter tooth,苦い歯
bitter thunder,苦い雷
bitter truth,苦い真実
bitter union,苦い組合
bitter unit,苦い単位
bitter violet,ビターバイオレット
bitter voice,苦い声
bitter water,苦い水
bitter waterfall,苦い滝
bitter wave,苦い波
bitter wildflower,苦いワイルドフラワー
bitter wind,苦い風
bitter wood,苦い木
bitter tree,苦い木
bitter sunset,苦い夕日
black art,ブラックアート
black band,黒帯
black bar,黒いバー
black base,ブラックベース
black bird,黒い鳥
black block,黒いブロック
black boat,黒いボート
black bonus,ブラックボーナス
black breeze,黒い風
black brook,黒い小川
black bread,黒パン
black bush,ブラックブッシュ
black cake,ブラックケーキ
black cell,黒セル
black cherry,ブラックチェリー
black cloud,黒い雲
black credit,ブラッククレジット
black darkness,黒い闇
black dawn,黒い夜明け
black dew,黒露
black disk,黒いディスク
black dream,黒い夢
black dust,黒い塵
black feather,黒い羽
black field,ブラックフィールド
black firefly,黒ホタル
black flower,黒い花
black fog,黒い霧
black forest,シュヴァルツヴァルト
black frog,黒いカエル
black frost,黒い霜
black glade,黒い空き地
black glitter,ブラックグリッター
black grass,黒い草
black hat,黒い帽子
black haze,黒いもや
black heart,邪険な心
black hill,黒い丘
black king,黒の王
black lab,ブラックラボ
black fire,黒火
black leaf,黒い葉
black limit,黒限界
black math,黒数学
black meadow,黒い牧草地
black mode,黒モード
black moon,ブラックムーン
black morning,黒い朝
black mountain,ブラックマウンテン
black mouse,黒マウス
black mud,黒い泥
black night,黒夜
black paper,黒い紙
black pine,ブラックパイン
black poetry,黒い詩
black pond,黒い池
black queen,ブラッククイーン
black rain,黒い雨
black recipe,ブラックレシピ
black resonance,ブラックレゾナンス
black rice,黒米
black river,黒い川
black salad,ブラックサラダ
black scene,黒いシーン
black sea,黒海
black shadow,黒い影
black shape,黒い形
black silence,黒い沈黙
black sky,黒い空
black smoke,黒い煙
black snow,黒い雪
black snowflake,黒いスノーフレーク
black sound,黒い音
black star,黒い星
black sun,黒い太陽
black sun,黒い太陽
black sunset,黒い夕日
black surf,ブラックサーフ
black term,ブラックターム
black thunder,ブラックサンダー
black tooth,黒い歯
black hall,ブラックホール
black truth,真実
black union,黒組合
black unit,黒ユニット
black violet,ブラックバイオレット
black voice,黒い声
black water,黒い水
black waterfall,黒い滝
black wave,ブラックウェーブ
black wildflower,ブラックワイルドフラワー
black wind,黒い風
black wood,黒い木
black tree,ブラックツリー
black lake,黒い湖
black butterfly,黒い蝶
blue art,ブルーアート
blue bar,青いバー
blue band,ブルーバンド
blue base,ブルーベース
blue bird,青い鳥
blue block,青いブロック
blue boat,青いボート
blue bonus,ブルーボーナス
blue bread,青パン
blue breeze,青い風
blue brook,ブルーブルック
blue bush,ブルーブッシュ
blue butterfly,青い蝶
blue cake,ブルーケーキ
blue cell,青いセル
blue cherry,ブルーチェリー
blue cloud,青い雲
blue credit,ブルークレジット
blue dawn,青い夜明け
blue darkness,青い闇
blue dew,ブルーデュー
blue disk,ブルーディスク
blue dream,青い夢
blue dust,青い塵
blue feather,青い羽
blue field,ブルーフィールド
blue fire,青い火
blue firefly,青いホタル
blue flower,青い花
blue fog,青い霧
blue forest,青い森
blue frog,青いカエル
blue frost,ブルーフロスト
blue glade,青い空き地
blue glitter,ブルーグリッター
blue grass,青い草
blue hall,ブルーホール
blue hat,青い帽子
blue haze,ブルーヘイズ
blue heart,ブルーハート
blue hill,青い丘
blue king,ブルーキング
blue lab,ブルーラボ
blue lake,青い湖
blue leaf,青い葉
blue limit,ブルーリミット
blue math,青い数学
blue meadow,青い牧草地
blue mode,ブルーモード
blue moon,ブルームーン
blue morning,青い朝
blue mountain,ブルーマウンテン
blue mouse,ブルーマウス
blue mud,ブルーマッド
blue night,青い夜
blue paper,青い紙
blue pine,ブルーパイン
blue poetry,青い詩
blue pond,青い池
blue queen,ブルークイーン
blue rain,青い雨
blue recipe,ブルーレシピ
blue resonance,ブルーレゾナンス
blue rice,ブルーライス
blue river,ブルーリバー
blue salad,ブルーサラダ
blue scene,青いシーン
blue sea,青い海
blue shape,青い形
blue silence,青い沈黙
blue shadow,青い影
blue sky,青空
blue smoke,青い煙
blue snow,青い雪
blue snowflake,青いスノーフレーク
blue sound,青い音
blue star,青い星
blue sun,青い太陽
blue sun,青い太陽
blue sunset,青い夕日
blue surf,ブルーサーフィン
blue term,ブルーターム
blue thunder,ブルーサンダー
blue tooth,ブルートゥース
blue tree,ブルーツリー
blue truth,真実
blue union,ブルーユニオン
blue unit,ブルーユニット
blue violet,青紫色
blue voice,青い声
blue water,青い水
blue waterfall,青い滝
blue wave,ブルーウェーブ
blue wildflower,ブルーワイルドフラワー
blue wind,青い風
blue wood,ブルーウッド
bold art,大胆なアート
bold band,太字のバンド
bold bar,太字バー
bold base,太字
bold bird,大胆な鳥
bold block,大胆なブロック
bold boat,大胆なボート
bold bonus,大胆なボーナス
bold bread,大胆なパン
bold breeze,大胆な風
bold brook,大胆な小川
bold bush,大胆なブッシュ
bold butterfly,大胆な蝶
bold cake,大胆なケーキ
bold cell,太字のセル
bold cherry,大胆なチェリー
bold cloud,大胆な雲
bold credit,大胆なクレジット
bold darkness,大胆な闇
bold dawn,大胆な夜明け
bold dew,大胆な露
bold disk,大胆なディスク
bold dream,大胆な夢
bold dust,大胆なほこり
bold feather,大胆な羽
bold field,太字のフィールド
bold fire,大胆な火
bold firefly,大胆なホタル
bold forest,大胆な森
bold fog,大胆な霧
bold frog,大胆なカエル
bold flower,大胆な花
bold frost,大胆な霜
bold glade,大胆な空き地
bold glitter,大胆なキラキラ
bold grass,大胆な草
bold hall,大胆なホール
bold hat,大胆な帽子
bold haze,大胆なもや
bold heart,大胆な心
bold hill,大胆な丘
bold king,大胆な王
bold lake,大胆な湖
bold lab,大胆なラボ
bold leaf,大胆な葉
bold limit,太字の制限
bold math,大胆な数学
bold meadow,大胆な牧草地
bold mode,太字モード
bold moon,大胆な月
bold morning,大胆な朝
bold mountain,大胆な山
bold mouse,大胆なマウス
bold mud,大胆な泥
bold night,大胆な夜
bold paper,大胆な紙
bold pine,大胆な松
bold poetry,大胆な詩
bold pond,大胆な池
bold queen,大胆な女王
bold rain,大雨
bold recipe,大胆レシピ
bold resonance,大胆な共鳴
bold rice,ボールドライス
bold river,大胆な川
bold salad,大胆なサラダ
bold scene,大胆なシーン
bold sea,大胆な海
bold shadow,大胆な影
bold shape,太字
bold silence,大胆な沈黙
bold sky,大胆な空
bold smoke,大胆な煙
bold snow,大胆な雪
bold snowflake,大胆なスノーフレーク
bold sound,大胆な音
bold star,太字のスター
bold sun,大胆な太陽
bold sun,大胆な太陽
bold sunset,大胆な夕焼け
bold surf,大胆なサーフ
bold term,大胆な言葉
bold thunder,大胆な雷
bold tooth,大胆な歯
bold tree,大胆な木
bold truth,大胆な真実
bold union,大胆な連合
bold unit,大胆な単位
bold violet,大胆なバイオレット
bold voice,大胆な声
bold water,大胆な水
bold waterfall,大胆な滝
bold wave,大胆な波
bold wildflower,大胆なワイルドフラワー
bold wind,大胆な風
bold wood,大胆な木
broad art,ブロードアート
broad band,ブロードバンド
broad bar,広いバー
broad boat,広い船
broad bonus,広いボーナス
broad bread,広めのパン
broad breeze,そよ風
broad brook,広い小川
broad bush,広いブッシュ
broad butterfly,広い蝶
broad cake,ブロードケーキ
broad cell,広いセル
broad cherry,さくらんぼ
broad cloud,広い雲
broad credit,幅広いクレジット
broad darkness,広い闇
broad dawn,広い夜明け
broad dew,広い露
broad disk,ブロードディスク
broad dream,広い夢
broad dust,広いほこり
broad feather,広い羽
broad field,広い分野
broad fire,大火
broad firefly,広いホタル
broad flower,広い花
broad fog,広霧
broad forest,広い森
broad bird,広い鳥
broad frost,広い霜
broad glade,広い空き地
broad glitter,キラキラ
broad grass,広い草
broad hall,広間
broad hat,広い帽子
broad haze,広いかすみ
broad heart,広い心
broad hill,広い丘
broad king,広い王
broad lab,広い実験室
broad lake,広い湖
broad leaf,広葉
broad limit,広い範囲
broad math,広い数学
broad meadow,広い牧草地
broad mode,ブロードモード
broad moon,広月
broad morning,広い朝
broad mountain,広い山
broad mouse,広いマウス
broad block,広いブロック
broad night,広い夜
broad paper,ブロードペーパー
broad pine,広い松
broad poetry,広い詩
broad pond,広い池
broad queen,広い女王
broad rain,大雨
broad recipe,幅広いレシピ
broad resonance,広い共鳴
broad rice,広めのご飯
broad river,広い川
broad salad,サラダ
broad scene,広いシーン
broad sea,広い海
broad shadow,広い影
broad shape,広い形
broad silence,広い沈黙
broad sky,広い空
broad smoke,広煙
broad snow,広い雪
broad snowflake,広いスノーフレーク
broad sound,広い音
broad star,ブロードスター
broad sun,広い太陽
broad sun,広い太陽
broad sunset,広い夕日
broad surf,広い波
broad term,広義語
broad frog,広いカエル
broad thunder,広い雷
broad tree,広い木
broad truth,広い真実
broad union,広い労働組合
broad unit,広い単位
broad violet,ブロードバイオレット
broad voice,広い声
broad water,広い水
broad waterfall,広い滝
broad wave,広波
broad wildflower,広いワイルドフラワー
broad wind,広風
broad wood,広い木
broad base,広い基盤
broad mud,広い泥
broad tooth,広い歯
broken art,壊れた芸術
broken band,壊れたバンド
broken base,壊れたベース
broken bar,壊れたバー
broken bird,壊れた鳥
broken bonus,壊れたボーナス
broken bread,壊れたパン
broken block,壊れたブロック
broken bush,ブッシュブッシュ
broken butterfly,壊れた蝶
broken cake,壊れたケーキ
broken cell,壊れたセル
broken cherry,壊れた桜
broken cloud,壊れた雲
broken credit,壊れたクレジット
broken darkness,壊れた闇
broken dawn,壊れた夜明け
broken dew,壊れた露
broken disk,壊れたディスク
broken dream,壊れた夢
broken dust,粉塵
broken feather,壊れた羽
broken field,壊れたフィールド
broken fire,壊れた
broken firefly,壊れたホタル
broken flower,壊れた花
broken fog,壊れた霧
broken forest,壊れた森
broken frog,壊れたカエル
broken frost,壊れた霜
broken glade,壊れた空き地
broken glitter,壊れたキラキラ
broken grass,壊れた草
broken hall,壊れたホール
broken hat,壊れた帽子
broken haze,壊れたヘイズ
broken heart,失恋
broken hill,壊れた丘
broken king,壊れた王
broken lab,壊れたラボ
broken lake,壊れた湖
broken leaf,壊れた葉
broken limit,壊れた限界
broken math,壊れた数学
broken meadow,壊れた牧草地
broken mode,壊れたモード
broken moon,壊れた月
broken boat,壊れたボート
broken mountain,壊れた山
broken mouse,壊れたマウス
broken mud,壊れた泥
broken night,壊れた夜
broken paper,壊れた紙
broken pine,壊れた松
broken poetry,壊れた詩
broken pond,壊れた池
broken queen,壊れた女王
broken rain,壊れた雨
broken recipe,壊れたレシピ
broken resonance,壊れた共鳴
broken rice,玄米
broken river,壊れた川
broken salad,壊れたサラダ
broken scene,壊れたシーン
broken sea,壊れた海
broken shadow,壊れた影
broken shape,壊れた形
broken silence,沈黙
broken sky,壊れた空
broken smoke,壊れた煙
broken snow,壊れた雪
broken snowflake,壊れたスノーフレーク
broken sound,壊れた音
broken star,壊れた星
broken sun,壊れた太陽
broken sun,壊れた太陽
broken sunset,壊れた夕日
broken surf,壊れたサーフ
broken term,壊れた用語
broken thunder,壊れた雷
broken tooth,壊れた歯
broken tree,壊れた木
broken truth,壊れた真実
broken union,壊れた組合
broken unit,壊れたユニット
broken violet,壊れたバイオレット
broken morning,壊れた朝
broken water,壊れた水
broken waterfall,壊れた滝
broken wave,砕波
broken wildflower,壊れたワイルドフラワー
broken breeze,壊れたそよ風
broken wood,壊れた木
broken wind,壊れた風
broken brook,壊れた小川
broken voice,壊れた声
calm art,落ち着いたアート
calm band,落ち着いたバンド
calm base,落ち着いたベース
calm bird,穏やかな鳥
calm block,落ち着いたブロック
calm boat,静かなボート
calm bonus,落ち着いたボーナス
calm bread,落ち着いたパン
calm breeze,穏やかな風
calm brook,穏やかな小川
calm bush,落ち着いたブッシュ
calm butterfly,穏やかな蝶
calm cake,落ち着いたケーキ
calm cell,落ち着いたセル
calm cherry,落ち着いたチェリー
calm cloud,穏やかな雲
calm credit,落ち着いたクレジット
calm darkness,落ち着いた闇
calm dawn,穏やかな夜明け
calm dew,穏やかな露
calm disk,落ち着いたディスク
calm feather,落ち着いた羽
calm field,落ち着いたフィールド
calm fire,落ち着いた火
calm firefly,穏やかなホタル
calm flower,落ち着いた花
calm fog,穏やかな霧
calm forest,穏やかな森
calm frog,静かなカエル
calm frost,落ち着いた霜
calm glade,穏やかな空き地
calm glitter,落ち着いたキラキラ
calm grass,落ち着いた草
calm hall,落ち着いたホール
calm hat,落ち着いた帽子
calm haze,静けさ
calm heart,落ち着いた心
calm hill,穏やかな丘
calm king,穏やかな王
calm lab,落ち着いたラボ
calm lake,穏やかな湖
calm leaf,落ち着いた葉
calm limit,穏やかな限界
calm math,落ち着いた数学
calm meadow,静かな牧草地
calm dust,落ち着いたほこり
calm dream,穏やかな夢
calm moon,穏やかな月
calm morning,穏やかな朝
calm mountain,穏やかな山
calm mouse,落ち着いたマウス
calm mud,落ち着いた泥
calm night,静かな夜
calm paper,落ち着いた紙
calm pine,落ち着いた松
calm poetry,落ち着いた詩
calm pond,静かな池
calm queen,落ち着いた女王
calm rain,穏やかな雨
calm recipe,落ち着いたレシピ
calm bar,落ち着いたバー
calm river,穏やかな川
calm salad,落ち着いたサラダ
calm scene,落ち着いたシーン
calm sea,穏やかな海
calm shadow,落ち着いた影
calm shape,落ち着いた形
calm silence,沈黙
calm sky,穏やかな空
calm smoke,落ち着いた煙
calm snow,穏やかな雪
calm snowflake,穏やかなスノーフレーク
calm sound,落ち着いた音
calm star,落ち着いた星
calm sun,穏やかな太陽
calm sun,穏やかな太陽
calm sunset,穏やかな夕日
calm surf,穏やかなサーフ
calm term,落ち着いた言葉
calm thunder,落ち着いた雷
calm tooth,穏やかな歯
calm tree,落ち着いた木
calm truth,平穏な
calm union,落ち着いた
calm unit,落ち着いた単位
calm violet,落ち着いたバイオレット
calm voice,落ち着いた声
calm water,穏やかな水
calm waterfall,穏やかな滝
calm wave,穏やかな波
calm wildflower,穏やかなワイルドフラワー
calm wind,穏やかな風
calm wood,落ち着いた木
calm resonance,穏やかな共鳴
calm mode,落ち着いたモード
calm rice,落ち着いたご飯
cold art,コールドアート
cold band,コールドバンド
cold bar,コールドバー
cold base,コールドベース
cold bird,冷たい鳥
cold block,コールドブロック
cold boat,コールドボート
cold bonus,コールドボーナス
cold bread,冷たいパン
cold breeze,寒風
cold brook,コールドブルック
cold bush,コールドブッシュ
cold butterfly,冷たい蝶
cold cake,コールドケーキ
cold cell,コールドセル
cold cherry,コールドチェリー
cold cloud,冷たい雲
cold darkness,寒さ
cold dawn,寒い夜明け
cold dew,寒い露
cold disk,コールドディスク
cold dream,冷たい夢
cold dust,冷たいほこり
cold feather,冷たい羽
cold fire,冷たい火
cold field,コールドフィールド
cold firefly,冷たいホタル
cold flower,冷たい花
cold fog,冷たい霧
cold forest,寒い森
cold frog,冷たいカエル
cold frost,冷たい霜
cold glade,寒冷地
cold glitter,コールドグリッター
cold grass,寒い草
cold hall,コールドホール
cold hat,コールドハット
cold haze,寒いもや
cold heart,冷たい心
cold credit,コールドクレジット
cold hill,寒い丘
cold king,冷たい王
cold lab,コールドラボ
cold lake,冷たい湖
cold leaf,冷たい葉
cold limit,コールドリミット
cold math,冷たい数学
cold meadow,寒い牧草地
cold mode,コールドモード
cold moon,寒い月
cold morning,寒い朝
cold mountain,寒い山
cold mouse,コールドマウス
cold mud,冷たい泥
cold night,寒い夜
cold paper,コールドペーパー
cold pine,コールドパイン
cold poetry,冷たい詩
cold pond,冷たい池
cold queen,冷たい女王
cold rain,寒い雨
cold recipe,コールドレシピ
cold resonance,冷たい共鳴
cold rice,冷たいご飯
cold river,寒い川
cold salad,冷たいサラダ
cold scene,寒いシーン
cold sea,冷たい海
cold shadow,冷たい影
cold shape,冷たい形
cold silence,冷たい沈黙
cold sky,冷たい空
cold smoke,冷たい煙
cold snow,寒い雪
cold snowflake,コールドスノーフレーク
cold sound,冷たい音
cold star,コールドスター
cold sun,寒い太陽
cold sun,寒い太陽
cold sunset,寒い夕日
cold surf,コールドサーフ
cold thunder,冷たい雷
cold tree,冷たい木
cold truth,冷たい真実
cold union,冷たい組合
cold unit,コールドユニット
cold violet,コールドバイオレット
cold voice,冷たい声
cold water,冷水
cold waterfall,冷たい滝
cold wave,寒波
cold wildflower,コールドワイルドフラワー
cold wind,冷たい風
cold wood,コールドウッド
cold term,寒い言葉
